road,point,traffic_percent,hour,currentSpeed,freeFlowSpeed
Eastern distributor northbound,"-33.91176,151.21283",0.0,03:36,77,77
Eastern distributor northbound,"-33.90156,151.21484",0.0,03:36,8,8
Eastern distributor northbound,"-33.89189,151.21683",0.0,03:36,71,71
Eastern distributor northbound,"-33.88284,151.2172",0.0,03:36,71,71
Eastern distributor northbound,"-33.87574,151.21744",26.865671641791046,03:36,49,67
Eastern distributor northbound,"-33.87096,151.21811",26.865671641791046,03:36,49,67
Eastern distributor northbound,"-33.86693,151.2159",26.865671641791046,03:36,49,67
western Distributor Eastbound,"-33.8716,151.19324",0.0,03:36,61,61
western Distributor Eastbound,"-33.87487,151.19688",0.0,03:36,59,59
western Distributor Eastbound,"-33.87298,151.20221",0.0,03:36,59,59
western Distributor Eastbound,"-33.8682,151.20282",0.0,03:36,66,66
western Distributor Eastbound,"-33.8623,151.20497",0.0,03:36,66,66
western Distributor Westbound,"-33.86038,151.20601",0.0,03:36,64,64
western Distributor Westbound,"-33.86396,151.20436",0.0,03:36,64,64
western Distributor Westbound,"-33.8704,151.20326",0.0,03:36,61,61
western Distributor Westbound,"-33.87274,151.2033",0.0,03:36,61,61
western Distributor Westbound,"-33.87435,151.20108",0.0,03:36,61,61
western Distributor Westbound,"-33.87505,151.19639",0.0,03:36,59,59
western Distributor Westbound,"-33.87162,151.19295",0.0,03:36,59,59
Cahill Expressway Northbound,"-33.86161,151.21329",0.0,03:36,42,42
Cahill Expressway Northbound,"-33.8633,151.21326",0.0,03:36,42,42
Cahill Expressway Northbound,"-33.86155,151.21224",0.0,03:36,61,61
Cahill Expressway Northbound,"-33.86094,151.20603",0.0,03:36,60,60
Cahill Expressway Northbound,"-33.86024,151.20454",0.0,03:36,61,61
Cahill Expressway Northbound,"-33.86102,151.20515",0.0,03:36,61,61
Cahill Expressway southbound,"-33.84246,151.21116",0,03:36,0,0
Cahill Expressway southbound,"-33.84923,151.2126",0.0,03:36,46,46
Cahill Expressway southbound,"-33.85581,151.20858",0.0,03:36,46,46
Cahill Expressway southbound,"-33.86078,151.20649",0.0,03:36,46,46
Cahill Expressway southbound,"-33.86159,151.21311",0.0,03:36,46,46
City road southbound,"-33.88793,151.1929",0.0,03:36,39,39
Eastern distributor northbound,"-33.91176,151.21283",0.0,04:00,77,77
Eastern distributor northbound,"-33.90156,151.21484",0.0,04:00,8,8
Eastern distributor northbound,"-33.89189,151.21683",0.0,04:00,71,71
Eastern distributor northbound,"-33.88284,151.2172",0.0,04:00,71,71
Eastern distributor northbound,"-33.87574,151.21744",0.0,04:00,67,67
Eastern distributor northbound,"-33.87096,151.21811",0.0,04:00,67,67
Eastern distributor northbound,"-33.86693,151.2159",0.0,04:00,67,67
western Distributor Eastbound,"-33.8716,151.19324",0.0,04:00,61,61
western Distributor Eastbound,"-33.87487,151.19688",0.0,04:00,59,59
western Distributor Eastbound,"-33.87298,151.20221",0.0,04:00,59,59
western Distributor Eastbound,"-33.8682,151.20282",0.0,04:00,66,66
western Distributor Eastbound,"-33.8623,151.20497",0.0,04:00,66,66
western Distributor Westbound,"-33.86038,151.20601",0.0,04:00,64,64
western Distributor Westbound,"-33.86396,151.20436",0.0,04:00,64,64
western Distributor Westbound,"-33.8704,151.20326",0.0,04:00,61,61
western Distributor Westbound,"-33.87274,151.2033",0.0,04:00,61,61
western Distributor Westbound,"-33.87435,151.20108",0.0,04:00,61,61
western Distributor Westbound,"-33.87505,151.19639",0.0,04:00,59,59
western Distributor Westbound,"-33.87162,151.19295",0.0,04:00,59,59
Cahill Expressway Northbound,"-33.86161,151.21329",0.0,04:00,42,42
Cahill Expressway Northbound,"-33.8633,151.21326",0.0,04:00,42,42
Cahill Expressway Northbound,"-33.86155,151.21224",0.0,04:00,61,61
Cahill Expressway Northbound,"-33.86094,151.20603",0.0,04:00,60,60
Cahill Expressway Northbound,"-33.86024,151.20454",0.0,04:00,61,61
Cahill Expressway Northbound,"-33.86102,151.20515",0.0,04:00,61,61
Cahill Expressway southbound,"-33.84246,151.21116",0,04:00,0,0
Cahill Expressway southbound,"-33.84923,151.2126",23.913043478260864,04:00,35,46
Cahill Expressway southbound,"-33.85581,151.20858",23.913043478260864,04:00,35,46
